Area	Area_Name	Grid_Value	Comb_Value	NVCMES	EVT_Value	Class_Name	Description
1	CONUS	1	1	01.A.3.D002M001E001	9238	South Florida Bayhead Swamp	"This system consists of predominately broad-leaved hardwoods emergent amidst marshes of the south Florida Everglades region. These areas are often called tree islands as they occur on slightly elevated sites above the low-relief marshes and have been considered ""perhaps the most striking botanical feature in the Everglades"" (Loveless 1959). Individual islands often have a characteristic shape depending upon the size; large islands are often teardrop-shaped, smaller islands are circular (Loveless 1959, Gunderson and Loftus 1993). Patches range in size from ¼ acre to exceeding 300 or more acres. These islands often form an abrupt ecotone with adjacent fire-prone marshes. Fires enter bayhead swamps only under extreme drought conditions and may kill much of the bayhead vegetation and heavily reduce peat accumulation. If left long unburned, bayheads may succeed to hardwood hammocks."
1	CONUS	2	2	01.A.3.D002M001E002	9702	South Florida Cypress Dome	This system is found primarily in the Everglades and Big Cypress regions. This system consists of small forested wetlands in poorly drained depressions which are underlain by an impervious layer that impedes drainage and traps precipitation. They receive their common name from the unique dome-shaped appearance in which trees in the center are higher than those around the sides (Monk and Brown 1965). Pond-cypress is the dominant tree, with the oldest and largest individuals characteristically occupying the center, and smaller and younger individuals around the margins. Pools of stagnant, highly acid water may stand in the center of these depressions ranging from 1-4 feet in depth, but becoming increasingly shallow along the margins. The understory flora is typified by species with tropical affinities.
1	CONUS	3	3	01.A.3.D002M001E003	9305	South Florida Dwarf Cypress Savanna	The scrub or dwarf cypress system covers extensive areas of south Florida, especially in the Big Cypress Swamp region of southwest Florida. These stunted stands of pond-cypress grow on shallow sands or marl soils above limestone bedrock. Individual trees are usually quite small and widely scattered, with canopy coverage ranging from 30-45% (Flohrschutz 1978). The understory shares much overlap with wet prairies of the region (Drew and Schomer 1984) and is dominated by the following genera: beaksedge, flatsedge, muhly, and sawgrass. The open, stunted aspect is maintained in part by stresses imposed by extreme seasonal water level changes and low-nutrient soils (Anonymous 1978). Ewel (1990b) suggests a hydroperiod of approximately 6 months for this type.
1	CONUS	4	4	01.A.4.D004M005E004	9236	South Florida Mangrove Swamp	This swamp system occurs along intertidal and supratidal shorelines in southern Florida. The primary species comprising this system are red mangrove, black mangrove, white mangrove, and buttonwood, each with essentially tropical affinities and poor survival in cold temperatures. This system attains best development in low wave-energy, depositional environments. Examples occur on soils generally saturated with brackish water at all times and which become inundated during high tides. The brackish environment tends to limit competition from other species. Although at least three broad variants of this system can be recognized, i.e., riverine mangrove forests, fringe mangrove forests, and basin mangrove forests (Lugo et al. 1988), all are included here for now.
1	CONUS	5	5	01.B.1.D099M134E005	4132	South Florida Hardwood Hammock	This rockland tropical hammock system, as currently defined, occurs only in extreme southern Florida. It consists of upland hardwood forest on elevated ridges of limestone in three discrete major regions; the Keys, southeastern Big Cypress, and the Miami Rock Ridge. Tropical hardwood species are diagnostic of the system, although few are common or dominant in all regions where these hammocks occur (Snyder et al. 1990). Among the species likely to be encountered throughout are gumbo limbo, pigeon-plum, and white stopper. The northward ranges of these species are limited by the incidence of frosts (Drew and Schomer 1984). Diamondleaf oak is one of the few temperate species which attains prominence in this system. These forests tend to have a dense canopy that produces deeper shade, less evaporation, and lower air temperature than surrounding vegetation. This microclimate, in combination with high water tables, tends to keep humidity levels high and the community quite mesic (FNAI 1990). A number of orchid and bromeliad species thrive in such conditions. Unlike most coastal plain systems, fire is a major threat to ~South Florida Hardwood Hammock (CES411.287)$$. For this reason, many examples occur alongside natural firebreaks, such as the leeward side of exposed limestone (Robertson 1955), moats created by limestone solution (Duever et al. 1986), and elevated outcrops above marshes, scrub cypress, or sometimes mangrove swamps (Snyder et al. 1990).
1	CONUS	6	6	01.B.1.D099M134E006	4135	Southeast Florida Coastal Strand and Maritime Hammock	This ecological system occurs as a narrow band of hardwood forest and shrublands along the Atlantic coast of southeastern Florida (approximately Volusia County southward). It is found on stabilized, old, coastal dunes, often with substantial shell components. The vegetation is characterized by hardwood species with tropical affinities. As such, the northern extent of this type is limited by periodic freezes and cold tolerance of tropical constituent species, such as blolly and butter-bough (Johnson and Muller 1993a). This system is closely related to both inland tropical hammocks and southwest Florida maritime hammocks, and may share some species overlap with each.
1	CONUS	7	7	01.B.1.D099M134E007	4134	Southwest Florida Coastal Strand and Maritime Hammock	This ecological system occurs as a narrow band of hardwood forest lying just inland of the coastal dune system in southwestern Florida. It is found on stabilized, old, coastal dunes, often with substantial shell components. The vegetation is characterized by hardwood species with tropical affinities. As such, the northern extent of this type is limited by periodic freezes and cold tolerance of tropical constituent species, such as Jamaica-dogwood and white stopper (Johnson and Muller 1993a). This system is closely related to both inland tropical hammocks and southeast Florida maritime hammocks, and may share some species overlap with each.
1	CONUS	8	8	01.B.1.D099M296E008	4145	South Florida Pine Rockland	This system includes pinelands of extreme south Florida growing on limestone. The uniqueness of the flora associated with this type has long been recognized, including the number of endemic and West Indian species. It has been estimated that nearly one-third of the taxa found in this system are restricted to it, including half of south Florida's endemic plants (Stout and Marion 1993). Unlike pinelands elsewhere in the southeastern coastal plain, south florida slash pine is the only native pine species in this system. Understory vegetation consists of many hardwood species, including a number with tropical origins, and the herbaceous flora is species-rich and fire-adapted.
1	CONUS	9	9	01.C.1.D006M007E009	4505	Atlantic Coastal Plain Fall-line Sandhills Longleaf Pine Woodland - Open Understory Modifier	"This system occurs in the Fall-Line Sandhills region of from central North Carolina extending into central Georgia.  It is the predominant system in its range, covering most of the natural landscape of the region.  It occurs on upland sites ranging from gently rolling, broad ridgetops to steeper side slopes, as well as locally in mesic swales and terraces.  Most soils are well- to excessively drained.  The vegetation is naturally dominated by longleaf pine (Pinus palustris).  Most associations have an understory of scrub oaks.  The herb layer is generally well-developed and dominated by grasses.  Wiregrass (Aristida stricta in the north, Aristida beyrichiana in the south) dominates in most of the range, but other grasses dominate where it is absent.  Forbs, including many legumes, are also abundant.  Frequent, low-intensity fire is the dominant natural ecological force.

Variation:  Open Understory - Grasses, widely scattered shrubs, or bare sand and soil dominate the understory.  The open aspect usually maintained through frequent fire or other management.

Other Variation(s):  Loblolly, Offsite Hardwood, Scrub/Shrub Understory."
1	CONUS	10	10	01.C.1.D006M007E010	4506	Atlantic Coastal Plain Fall-line Sandhills Longleaf Pine Woodland - Scrub/Shrub Understory Modifier	"This system occurs in the Fall-Line Sandhills region of from central North Carolina extending into central Georgia.  It is the predominant system in its range, covering most of the natural landscape of the region.  It occurs on upland sites ranging from gently rolling, broad ridgetops to steeper side slopes, as well as locally in mesic swales and terraces.  Most soils are well- to excessively drained.  The vegetation is naturally dominated by longleaf pine (Pinus palustris).  Most associations have an understory of scrub oaks.  The herb layer is generally well-developed and dominated by grasses.  Wiregrass (Aristida stricta in the north, Aristida beyrichiana in the south) dominates in most of the range, but other grasses dominate where it is absent.  Forbs, including many legumes, are also abundant.  Frequent, low-intensity fire is the dominant natural ecological force.

Variation:  Scrub/Shrub - Fire supressed sites with a dense understory of scrub oaks or shrubs.

Other Variation(s):  Loblolly, Offsite Hardwood, Open Understory."
