ELEMENT_GLOBAL_ID	SIMGLOBAL_ID	SIMNOTE
689444	687266	dry oak woodland is somewhat related. Both communities have canopies of 30-80%, but opening woodlands are found on loamier soils and dominated by <i>Quercus alba, Quercus macrocarpa</i>, and <i>Quercus rubra</i> (reaching dominance on more mesic stands only). Dry oak woodlands are found on droughty, sandy soils and are dominated by <i>Quercus ellipsoidalis, Quercus velutina</i> and <i>Quercus alba</i>. Their highly droughty, low-fertility soils lead to low fuel loads that often allow for only low-intensity fires. Woody individuals which survive the sapling stage generally reach canopy size as the intensities of fire in this community are rarely high enough to kill overstory trees (Anderson 1991). Many understory species are shared in common between dry-mesic oak woodlands and dry oak woodlands. Understory species that are either unique to or more common in dry oak woodlands are those that compete well only in acidic, low-nutrient sandy soils or those that compete well only under more droughty conditions. Conversely, species unique to or more common in dry-mesic oak woodlands tend to be more competitive under lower moisture stress conditions and/or prefer more alkaline conditions.
684331	687266	northern tallgrass prairie, and adjacent plains, bur oak-dominated only.
683348	687266	
688969	689306	
688969	685181	
688969	683840	
686354	683840	
688969	689492	
686354	689492	
688327	685058	
684183	688104	found in Colorado, where it is ranked S2S3.
685933	683417	
689778	683417	has floristic and environmental similarities; the major difference is the dominant overstory species.
683610	683417	
686599	683417	found in drier Rocky Mountain and Great Plains habitats.
686317	686639	
684356	687251	
688173	689780	
683417	686599	moist habitats in the Rocky Mountains and Black Hills.
686354	688041	
688104	685612	
688969	686354	
686354	683284	
686354	689855	
688969	684241	
686354	684241	
688969	686164	
686354	689613	
686354	687598	
688969	687598	
689510	689004	
689815	689004	
685993	689004	
683184	689293	Differs in that there is no <i>Populus angustifolia</i>.
689876	684655	may represent a disturbed variant of this type.
686073	689080	
683603	689876	The similarity is based on overall composition, but there are few <i>Fraxinus pennsylvanica</i> individuals in CEGL001128.
683094	689876	occurs in woody draws in more of an upland context.
688113	689876	drier, more woody draw.
686942	689876	
685753	689191	shares species.
687121	685753	may represent an intermediate stage between this type and ~<i>Fraxinus pennsylvanica - (Ulmus americana) / Symphoricarpos occidentalis</i> Floodplain Forest (CEGL002088)$$.
688650	685753	shares species with this type, but is a later seral stage than <i>Populus deltoides / Juniperus scopulorum</i>.
686124	687120	
686924	687120	reported from the Great Plains states.
686124	687121	
688650	687121	May well be the same type, but it is more moist.
689191	687121	
685660	686980	
686276	687874	
688653	686259	
688653	686382	
685736	685440	
689610	687620	Stands dominated by both <i>Pinus ponderosa</i> and <i>Juniperus scopulorum</i>, but with less than 25% <i>Pinus ponderosa</i>, are placed in this type.
685004	688238	
685004	687234	
684122	685793	
684942	685793	
684942	686896	
685876	684970	
684195	686619	
686499	690047	
684187	959283	
686272	684647	
685622	685620	
684441	687844	
683472	683163	
683472	683663	
684187	683193	
688568	688333	also occurs in the Bear's Paw Mountains (Roberts 1980) and has similar understory vegetation, but occurs on sites that are too dry to support <i>Pseudotsuga menziesii</i>.
690090	686468	Should be archived, same as this type.
686461	688092	
685332	690033	has cover percentages of less than 5% for <i>Juniperus communis</i>.
899444	871049	lacks <i>Quercus marilandica, Pyxidanthera barbulata</i>, and <i>Leiophyllum buxifolium</i>, and occurs in New England and the Pocono Plateau in Pennsylvania.
899599	899517	occurs in the warm temperate Southeastern Coastal Plain, and has different codominant graminoid plants.
898964	898965	contains <i>Picea rubens</i>, but lacks <i>Abies fraseri</i>.
898965	898964	contains <i>Abies fraseri</i>.
899023	899001	has higher cover of <i>Pinus serotina</i>.
686468	686202	Hansen and Hoffman (1988) state that <i>Pinus ponderosa / Andropogon</i> spp. community is a seral stage of the <i>Pinus ponderosa / Carex heliophila</i> Habitat Type and predict that as stands become older and canopies close <i>Schizachyrium scoparium</i> is replaced by <i>Carex inops ssp. heliophila</i>. However, they present no evidence to support their conclusions, and closed-canopy forests described by Thilenius (1972) and Jones (1992) suggest that <i>Schizachyrium scoparium</i> is not lost with canopy closure.
690090	686202	Some similarity exists, with <i>Pinus ponderosa / Schizachyrium scoparium</i> dominant under more open tree canopies.
685651	688355	is similar in structure and composition (Daubenmire and Daubenmire 1968).
690033	685332	Both communities are relatively mesic and share many species. <i>Pinus ponderosa / Juniperus communis</i> Woodland is distinguished by the greater abundance of <i>Juniperus communis, Mahonia repens</i>, and <i>Lupinus argenteus</i> and lesser amounts of <i>Lathyrus ochroleucus</i> and <i>Oryzopsis asperifolia</i>.
685334	685332	
687620	689610	Pine is at least 25% of canopy.
686468	689610	as described by Hoffman and Alexander (1987) for the Black Hills of South Dakota, occurs on steep, rocky slopes in drier areas. Canopy may be open or closed, and <i>Juniperus scopulorum</i> is conspicuous and constant in the understory. <i>Andropogon gerardii</i> and <i>Schizachyrium scoparium</i> are not important.
686298	685034	
688843	959235	
686824	959235	
685418	689250	
